fecha,valor,completo_mediciones,completo_umbral
2018/04/25,2.60,100.0,100.0
2018/04/26,0.00,100.0,100.0
2018/04/27,0.00,100.0,100.0
2018/04/28,25.50,100.0,100.0
2018/04/29,1.10,100.0,100.0
2018/04/30,9.20,100.0,100.0
2018/05/01,0.60,100.0,100.0
2018/05/02,0.80,100.0,100.0
2018/05/03,0.30,100.0,100.0
2018/05/04,5.10,100.0,100.0
2018/05/05,0.80,100.0,100.0
2018/05/06,0.70,100.0,100.0
2018/05/07,16.70,100.0,100.0
2018/05/08,15.70,100.0,100.0
2018/05/09,17.30,100.0,100.0
2018/05/10,5.50,100.0,100.0
2018/05/11,1.40,100.0,100.0
2018/05/12,0.00,100.0,100.0
2018/05/13,1.70,100.0,100.0
2018/05/14,1.80,100.0,100.0
2018/05/15,0.10,100.0,100.0
2018/05/16,4.20,100.0,100.0
2018/05/17,4.50,100.0,100.0
2018/05/18,2.30,100.0,100.0
2018/05/19,1.50,100.0,100.0
2018/05/20,0.40,100.0,100.0
2018/05/21,0.30,100.0,100.0
2018/05/22,9.90,99.7,100.0
2018/05/23,16.10,100.0,100.0
2018/05/24,25.90,100.0,100.0
2018/05/25,7.10,100.0,100.0
2018/05/26,9.90,100.0,100.0
2018/05/27,7.30,100.0,100.0
2018/05/28,0.20,100.0,100.0
2018/05/29,0.20,100.0,100.0
2018/05/30,0.10,100.0,100.0
2018/05/31,0.00,100.0,100.0
2018/06/01,0.00,100.0,100.0
2018/06/02,3.70,100.0,100.0
2018/06/03,7.20,100.0,100.0
2018/06/04,9.40,100.0,100.0
2018/06/05,4.70,100.0,100.0
2018/06/06,1.10,100.0,100.0
2018/06/07,0.00,100.0,100.0
2018/06/08,0.00,100.0,100.0
2018/06/09,0.30,100.0,100.0
2018/06/10,3.00,100.0,100.0
2018/06/11,6.40,100.0,100.0
2018/06/12,0.00,100.0,100.0
2018/06/13,0.00,100.0,100.0
2018/06/14,0.00,100.0,100.0
2018/06/15,2.50,100.0,100.0
2018/06/16,11.50,100.0,100.0
2018/06/17,7.90,100.0,100.0
2018/06/18,25.20,100.0,100.0
2018/06/19,2.10,99.7,100.0
2018/06/20,2.70,100.0,100.0
2018/06/21,2.60,100.0,100.0
2018/06/22,0.00,96.5,100.0
2018/06/23,0.30,96.2,95.8
2018/06/24,1.10,99.7,100.0
2018/06/25,3.10,100.0,100.0
2018/06/26,17.40,100.0,100.0
2018/06/27,3.20,100.0,100.0
2018/06/28,14.20,100.0,100.0
2018/06/29,12.00,100.0,100.0
2018/06/30,7.70,100.0,100.0
2018/07/01,6.10,100.0,100.0
2018/07/02,0.00,100.0,100.0
2018/07/03,0.20,100.0,100.0
2018/07/04,0.00,100.0,100.0
2018/07/05,0.00,100.0,100.0
2018/07/06,6.90,100.0,100.0
2018/07/07,4.70,100.0,100.0
2018/07/08,0.00,100.0,100.0
2018/07/09,0.00,100.0,100.0
2018/07/10,0.00,100.0,100.0
2018/07/11,0.10,100.0,100.0
2018/07/12,0.00,100.0,100.0
2018/07/13,0.30,100.0,100.0
2018/07/14,2.30,100.0,100.0
2018/07/15,0.40,100.0,100.0
2018/07/16,0.00,100.0,100.0
2018/07/17,4.70,100.0,100.0
2018/07/18,1.30,100.0,100.0
2018/07/19,0.90,100.0,100.0
2018/07/20,0.50,100.0,100.0
2018/07/21,3.40,100.0,100.0
2018/07/22,18.60,100.0,100.0
2018/07/23,0.80,100.0,100.0
2018/07/24,0.10,100.0,100.0
2018/07/25,0.00,100.0,100.0
2018/07/26,2.00,100.0,100.0
2018/07/27,1.60,100.0,100.0
2018/07/28,0.20,100.0,100.0
2018/07/29,11.20,100.0,100.0
2018/07/30,21.60,100.0,100.0
2018/07/31,4.80,100.0,100.0
2018/08/01,3.80,100.0,100.0
2018/08/02,0.00,100.0,100.0
2018/08/03,10.20,99.0,100.0
2018/08/04,,83.0,70.8
2018/08/05,0.00,92.4,83.3
2018/08/06,0.00,100.0,100.0
2018/08/07,2.30,98.3,95.8
2018/08/08,1.00,100.0,100.0
2018/08/09,19.40,99.7,100.0
2018/08/10,10.60,100.0,100.0
2018/08/11,0.40,100.0,100.0
2018/08/12,0.70,100.0,100.0
2018/08/13,0.00,100.0,100.0
2018/08/14,0.00,100.0,100.0
2018/08/15,0.00,100.0,100.0
2018/08/16,3.10,99.7,100.0
2018/08/17,1.80,100.0,100.0
2018/08/18,0.70,100.0,100.0
2018/08/19,0.30,100.0,100.0
2018/08/20,0.90,100.0,100.0
2018/08/21,1.50,100.0,100.0
2018/08/22,0.20,100.0,100.0
2018/08/23,0.00,100.0,100.0
2018/08/24,0.00,100.0,100.0
2018/08/25,0.60,100.0,100.0
2018/08/26,9.60,100.0,100.0
2018/08/27,5.20,100.0,100.0
2018/08/28,2.10,100.0,100.0
2018/08/29,0.00,100.0,100.0
2018/08/30,0.00,99.7,100.0
2018/08/31,0.00,100.0,100.0
2018/09/01,0.20,100.0,100.0
2018/09/02,0.70,100.0,100.0
2018/09/03,4.50,100.0,100.0
2018/09/04,19.50,99.7,100.0
2018/09/05,7.70,100.0,100.0
2018/09/06,0.00,100.0,100.0
2018/09/07,0.00,100.0,100.0
2018/09/08,10.80,100.0,100.0
2018/09/09,7.30,100.0,100.0
2018/09/10,0.00,100.0,100.0
2018/09/11,0.30,100.0,100.0
2018/09/12,0.20,100.0,100.0
2018/09/13,0.30,100.0,100.0
2018/09/14,17.90,100.0,100.0
2018/09/15,17.70,100.0,100.0
2018/09/16,5.10,100.0,100.0
2018/09/17,0.00,100.0,100.0
2018/09/18,0.00,100.0,100.0
2018/09/19,0.10,100.0,100.0
2018/09/20,0.10,99.7,100.0
2018/09/21,0.00,100.0,100.0
2018/09/22,0.20,100.0,100.0
2018/09/23,0.00,100.0,100.0
2018/09/24,0.50,100.0,100.0
2018/09/25,0.00,100.0,100.0
2018/09/26,0.00,100.0,100.0
2018/09/27,0.00,99.7,100.0
2018/09/28,0.00,100.0,100.0
2018/09/29,0.00,100.0,100.0
2018/09/30,0.00,100.0,100.0
2018/10/01,0.00,100.0,100.0
2018/10/02,0.00,100.0,100.0
2018/10/03,29.30,100.0,100.0
2018/10/04,0.60,100.0,100.0
2018/10/05,0.00,100.0,100.0
2018/10/06,0.60,100.0,100.0
2018/10/07,0.40,100.0,100.0
2018/10/08,2.60,100.0,100.0
2018/10/09,1.20,100.0,100.0
2018/10/10,2.90,99.7,100.0
